Epoch,Time (s)
1,42.77022075653076
2,11.646671295166016
3,11.620505571365356
4,11.705432415008545
5,11.750547647476196
6,11.693429231643677
7,11.68261981010437
8,11.647080183029175
9,11.665401220321655
10,11.620639085769653
11,11.558675050735474
12,11.75291132926941
13,11.656625270843506
14,11.526474714279175
15,11.673856496810913
16,11.66725754737854
17,11.585565567016602
18,11.625793695449829
19,11.596325397491455
20,11.70435881614685
21,11.664715766906738
22,11.609230041503906
23,11.848522424697876
24,11.765779256820679
25,11.70351243019104
26,11.733930587768555
27,11.759115219116211
28,11.8495774269104
29,11.8223295211792
30,11.881607294082642
