Model Name,Date,Train Time,Batch Size,Epochs,Loss,Accuracy,True Positives,True Negatives,False Positives,False Negatives,AUC,Validation Loss,Validation Accuracy,Validation True Positives,Validation True Negatives,Validation False Positives,Validation False Negatives,Validation AUC
base,20/04/2020 23:16,890.0802755355835,32,10,0.19391513542432956,0.9380933046340942,129149.0,128761.0,8334.0,8686.0,0.9758527278900146,0.1399640075289444,0.9563901424407959,6888.0,7016.0,351.0,283.0,0.9840320944786072
base,20/04/2020 23:17,93.66457891464233,32,1,0.1942493054279091,0.9385261535644531,128936.0,129093.0,8547.0,8354.0,0.975748598575592,0.1399756341533035,0.9565964937210083,6901.0,7006.0,338.0,293.0,0.9841009974479675
base,20/04/2020 23:19,94.8497097492218,32,1,0.1916785097496605,0.9392063617706299,128882.0,129334.0,8601.0,8113.0,0.9761238694190979,0.1392676541718841,0.9559774398803711,6901.0,6997.0,338.0,302.0,0.9841554760932922
base,20/04/2020 23:21,91.34279942512512,32,1,0.19080887097163862,0.9394791126251221,129170.0,129121.0,8313.0,8326.0,0.9763062000274658,0.13895755149562447,0.9563213586807251,6892.0,7011.0,347.0,288.0,0.9841682314872742
base,20/04/2020 23:22,93.64896869659424,32,1,0.1919482852235581,0.9388171434402466,129037.0,129072.0,8446.0,8375.0,0.9761149287223816,0.14048860675244929,0.9551520347595215,6912.0,6974.0,327.0,325.0,0.9842118620872498
base,20/04/2020 23:24,91.27182269096375,32,1,0.19369902225905766,0.9387589693069458,128848.0,129245.0,8635.0,8202.0,0.9759591817855835,0.14124954127063283,0.9552208185195923,6906.0,6981.0,333.0,318.0,0.9839714765548706
base,20/04/2020 23:25,92.69899535179138,32,1,0.19115159351080444,0.9397046566009521,128947.0,129406.0,8536.0,8041.0,0.9762681722640991,0.13940802816348222,0.9563901424407959,6904.0,7000.0,335.0,299.0,0.9841547012329102
base,20/04/2020 23:27,93.66414165496826,32,1,0.19420622355770675,0.9382643103599548,128778.0,129179.0,8705.0,8268.0,0.9757784008979797,0.14078037401212593,0.9561150074005127,6892.0,7008.0,347.0,291.0,0.9839437007904053
base,20/04/2020 23:28,91.55600714683533,32,1,0.1944620095538368,0.937631368637085,128664.0,129119.0,8819.0,8328.0,0.975673496723175,0.14256948879618217,0.9548768997192383,6909.0,6973.0,330.0,326.0,0.9838584065437317
base,20/04/2020 23:30,94.21924018859863,32,1,0.19229802484597835,0.9390390515327454,128996.0,129174.0,8487.0,8273.0,0.9759822487831116,0.13931578844642192,0.9567340612411499,6899.0,7010.0,340.0,289.0,0.9840512275695801
