Model Name,Date,Train Time,Batch Size,Epoch #,Epochs,Loss,Accuracy,True Positives,True Negatives,False Positives,False Negatives,AUC,Validation Loss,Validation Accuracy,Validation True Positives,Validation True Negatives,Validation False Positives,Validation False Negatives,Validation AUC
base,27/04/2020 12:26,875.6519777774811,32,0,10,0.1929439315221776,0.9377695918083192,129245.0,128576.0,8260.0,8849.0,0.9761260747909546,0.1420104463124377,0.9559774398803712,6826.0,7072.0,391.0,249.0,0.983239769935608
base,27/04/2020 12:26,875.6519777774811,32,1,10,0.138642066195637,0.9576292037963868,130645.0,132636.0,6860.0,4789.0,0.984383225440979,0.12069379481411255,0.9632686972618104,6896.0,7108.0,321.0,213.0,0.9874250888824464
base,27/04/2020 12:26,875.6519777774811,32,2,10,0.12526385777244112,0.961226522922516,131122.0,133148.0,6383.0,4277.0,0.9868897795677184,0.11349318120134046,0.9662952423095704,6878.0,7170.0,339.0,151.0,0.9890964031219482
base,27/04/2020 12:26,875.6519777774811,32,3,10,0.11851479733570855,0.9633724689483644,131373.0,133487.0,6132.0,3938.0,0.988041341304779,0.11040499624367643,0.9656073451042176,6970.0,7068.0,247.0,253.0,0.9896877408027648
base,27/04/2020 12:26,875.6519777774811,32,4,10,0.1137151665091016,0.96479469537735,131552.0,133699.0,5953.0,3726.0,0.9888569712638856,0.10227535868596302,0.9689090847969056,6940.0,7146.0,277.0,175.0,0.9904492497444152
base,27/04/2020 12:26,875.6519777774811,32,5,10,0.10978801922210543,0.965947687625885,131670.0,133898.0,5835.0,3527.0,0.9895007610321044,0.09922910851939808,0.9698720574378968,6937.0,7163.0,280.0,158.0,0.9909819960594176
base,27/04/2020 12:26,875.6519777774811,32,6,10,0.10665030336424884,0.9667624235153198,131830.0,133962.0,5675.0,3463.0,0.9900875687599182,0.09757140691985716,0.97014719247818,6952.0,7152.0,265.0,169.0,0.9912489652633668
base,27/04/2020 12:26,875.6519777774811,32,7,10,0.10414191568433942,0.9672898650169371,131901.0,134036.0,5604.0,3389.0,0.9904937744140624,0.09705870275583373,0.969459354877472,6978.0,7116.0,239.0,205.0,0.9918511509895324
base,27/04/2020 12:26,875.6519777774811,32,8,10,0.10188903035910034,0.9680936932563782,132034.0,134124.0,5471.0,3301.0,0.9908424019813538,0.09236314488106703,0.9711790084838868,6973.0,7146.0,244.0,175.0,0.9923205971717834
base,27/04/2020 12:26,875.6519777774811,32,9,10,0.09971255442095134,0.9686902165412904,132109.0,134213.0,5396.0,3212.0,0.9913076758384703,0.0917733410158853,0.9713165760040284,6983.0,7138.0,234.0,183.0,0.99240642786026
