Model Name,Date,Train Time,Batch Size,Epoch #,Epochs,Loss,Accuracy,True Positives,True Negatives,False Positives,False Negatives,AUC,Validation Loss,Validation Accuracy,Validation True Positives,Validation True Negatives,Validation False Positives,Validation False Negatives,Validation AUC
v2_base,20/05/2020 17:44,1032.3125715255735,32,0,10,0.19327372845335594,0.9379878640174866,129185.0,128696.0,8286.0,8763.0,0.9759275317192078,0.14821372396730462,0.9549456834793092,6899.0,6984.0,352.0,303.0,0.9817092418670654
v2_base,20/05/2020 17:44,1032.3125715255735,32,1,10,0.1379006443551794,0.9578292369842528,130659.0,132677.0,6812.0,4782.0,0.9845353364944458,0.12772729141825512,0.9619617462158204,6864.0,7121.0,387.0,166.0,0.986129879951477
v2_base,20/05/2020 17:44,1032.3125715255735,32,2,10,0.1242867404839662,0.9620412588119508,131187.0,133307.0,6284.0,4152.0,0.9870195984840392,0.117353925444155,0.9649195075035096,6905.0,7123.0,346.0,164.0,0.9880589842796326
v2_base,20/05/2020 17:44,1032.3125715255735,32,3,10,0.11793975528737873,0.9635215997695924,131345.0,133556.0,6126.0,3903.0,0.9881733059883118,0.11216668955738812,0.9656761884689332,6924.0,7115.0,327.0,172.0,0.988916277885437
v2_base,20/05/2020 17:44,1032.3125715255735,32,4,10,0.11300979375774735,0.9653438925743104,131613.0,133789.0,5858.0,3670.0,0.9890124201774596,0.10816922384314367,0.9660201072692872,6966.0,7078.0,285.0,209.0,0.9896903038024902
v2_base,20/05/2020 17:44,1032.3125715255735,32,5,10,0.10955457526041276,0.9660131931304932,131693.0,133893.0,5778.0,3566.0,0.9895963072776794,0.1044384855600216,0.967464566230774,6962.0,7103.0,289.0,184.0,0.9904590249061584
v2_base,20/05/2020 17:44,1032.3125715255735,32,6,10,0.10663969993211367,0.9667115211486816,131802.0,133976.0,5669.0,3483.0,0.9901195168495178,0.10271999148896928,0.9682899713516236,6936.0,7141.0,315.0,146.0,0.9905750751495358
v2_base,20/05/2020 17:44,1032.3125715255735,32,7,10,0.10396866223698327,0.9673262238502502,131833.0,134114.0,5638.0,3345.0,0.9905689358711244,0.0995137221128013,0.9679460525512696,6980.0,7092.0,271.0,195.0,0.9912124276161194
v2_base,20/05/2020 17:44,1032.3125715255735,32,8,10,0.10111841279852757,0.9683410525321959,132042.0,134184.0,5429.0,3275.0,0.9910118579864502,0.09723795337935873,0.9693217873573304,6977.0,7115.0,274.0,172.0,0.991390347480774
v2_base,20/05/2020 17:44,1032.3125715255735,32,9,10,0.09904680017197492,0.9688793420791626,132136.0,134238.0,5335.0,3221.0,0.9913628697395324,0.09540068471955702,0.9697344899177552,6997.0,7101.0,254.0,186.0,0.9920507669448853
v2_square,20/05/2020 18:02,1079.7852070331571,32,0,10,0.4227332661121794,0.7659767866134644,109910.0,100680.0,27561.0,36779.0,0.8757799863815308,0.1527127056436536,0.9515063762664796,6922.0,6911.0,329.0,376.0,0.9824553132057192
v2_square,20/05/2020 18:02,1079.7852070331571,32,1,10,0.14806680195994246,0.9533517360687256,130356.0,131749.0,7115.0,5710.0,0.9836272597312928,0.1206312446501006,0.9629247784614564,6891.0,7108.0,360.0,179.0,0.9882457852363586
v2_square,20/05/2020 18:02,1079.7852070331571,32,2,10,0.12378373340477365,0.9616047739982604,131319.0,133055.0,6152.0,4404.0,0.9878177046775818,0.10604694459476126,0.9667767286300659,6920.0,7135.0,331.0,152.0,0.9907211065292358
v2_square,20/05/2020 18:02,1079.7852070331571,32,3,10,0.11239227907456996,0.9645109772682192,131641.0,133532.0,5830.0,3927.0,0.9896793961524964,0.10041836558007476,0.9689090847969056,6924.0,7162.0,327.0,125.0,0.9918505549430848
v2_square,20/05/2020 18:02,1079.7852070331571,32,4,10,0.10607620882733454,0.9664496183395386,131942.0,133764.0,5529.0,3695.0,0.9906662106513976,0.09277065244755336,0.970491111278534,6976.0,7133.0,275.0,154.0,0.9923238158226012
v2_square,20/05/2020 18:02,1079.7852070331571,32,5,10,0.10176897782279412,0.9679881930351256,132109.0,134020.0,5362.0,3439.0,0.9913020730018616,0.08979884246234833,0.9709725975990297,6977.0,7139.0,274.0,148.0,0.9929237961769104
v2_square,20/05/2020 18:02,1079.7852070331571,32,6,10,0.09845853019963052,0.9688320755958556,132200.0,134161.0,5271.0,3298.0,0.9918348789215088,0.08735268878287213,0.9727610349655152,6971.0,7171.0,280.0,116.0,0.9931183457374572
v2_square,20/05/2020 18:02,1079.7852070331571,32,7,10,0.09502119009335563,0.969839572906494,132366.0,134272.0,5105.0,3187.0,0.9922561645507812,0.08450050382812895,0.9739992022514344,7000.0,7160.0,251.0,127.0,0.9934552311897278
